Age,Number of Dependents,Number of Referrals,Tenure in Months,Avg Monthly GB Download,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Married,City_0,City_1,City_2,City_3,City_4,City_5,City_6,City_7,City_8,City_9,City_10,Phone Service,Multiple Lines,Internet Service,Internet Type_0,Internet Type_1,Internet Type_2,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Customer Status
37.0,0.0,2.0,9.0,16.0,593.3,0.0,0.0,381.51,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,2,0
46.0,0.0,0.0,9.0,10.0,542.4,38.33,10.0,96.21,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0
50.0,0.0,0.0,4.0,30.0,280.85,0.0,0.0,134.6,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1
78.0,0.0,1.0,13.0,4.0,1237.85,0.0,0.0,361.66,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1
75.0,0.0,3.0,3.0,11.0,267.4,0.0,0.0,22.14,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1
67.0,0.0,1.0,71.0,14.0,7904.25,0.0,0.0,707.16,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,3,0
52.0,0.0,8.0,63.0,7.0,5377.8,0.0,20.0,816.48,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,3,0
68.0,0.0,0.0,7.0,21.0,340.35,0.0,0.0,73.71,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,3,0
43.0,1.0,3.0,65.0,14.0,5957.9,0.0,0.0,1849.9,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,3,0
47.0,0.0,0.0,54.0,10.0,2460.55,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,3,0
58.0,0.0,0.0,5.0,10.0,351.5,0.0,0.0,93.25,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0
32.0,0.0,0.0,72.0,16.0,7261.25,0.0,0.0,162.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,3,0
39.0,0.0,0.0,56.0,19.0,2560.1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,3,0
58.0,2.0,9.0,71.0,12.0,6849.4,0.0,0.0,1935.46,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,3,0
52.0,1.0,0.0,34.0,20.0,1993.2,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,2,0
72.0,0.0,0.0,1.0,22.0,72.1,0.0,0.0,7.77,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,2,0
79.0,0.0,0.0,45.0,17.0,2791.5,0.0,0.0,480.15,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,2,1
67.0,0.0,0.0,1.0,9.0,25.1,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1
79.0,0.0,0.0,50.0,29.0,1306.3,0.0,0.0,1571.5,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,0
26.0,0.0,1.0,13.0,52.0,1215.6,0.0,0.0,566.28,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1
30.0,2.0,1.0,23.0,30.0,1849.95,0.0,0.0,802.93,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0
22.0,0.0,0.0,3.0,24.2,57.2,0.0,0.0,9.36,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
34.0,0.0,0.0,4.0,24.4,76.35,0.0,0.0,49.72,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
37.0,1.0,1.0,1.0,19.0,30.5,0.0,0.0,0.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
42.0,3.0,3.0,54.0,8.4,1090.6,0.0,0.0,1063.8,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0
64.0,0.0,0.0,26.0,23.4,471.85,21.25,0.0,980.2,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
47.0,3.0,5.0,69.0,30.2,1396.9,0.0,0.0,2648.91,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0
23.0,3.0,1.0,37.0,51.0,3247.55,0.0,0.0,1591.37,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,2,0
48.0,0.0,5.0,49.0,23.4,900.9,0.0,0.0,2429.42,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0
28.0,0.0,0.0,67.0,26.8,1343.4,30.53,0.0,1549.04,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0
33.0,1.0,4.0,20.0,22.0,825.4,0.0,0.0,0.0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,3,0
31.0,3.0,0.0,43.0,14.0,1070.15,0.0,0.0,1317.52,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0
37.0,0.0,2.0,55.0,9.0,4959.6,0.0,0.0,279.4,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0
60.0,0.0,4.0,59.0,14.0,5597.65,0.0,0.0,967.01,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0
48.0,3.0,3.0,12.0,28.8,224.5,0.0,0.0,231.36,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0
60.0,3.0,7.0,27.0,23.0,1929.0,0.0,0.0,682.02,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0
69.0,0.0,0.0,2.0,27.0,91.1,0.0,0.0,87.98,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1
31.0,3.0,1.0,25.0,15.8,630.6,44.42,0.0,592.25,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,3,0
46.0,0.0,5.0,25.0,19.0,1611.0,44.9,0.0,161.25,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,2,0
57.0,1.0,0.0,29.0,21.0,1242.45,12.26,0.0,0.0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0
19.0,0.0,5.0,72.0,52.0,6316.2,0.0,0.0,2329.92,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,3,0
64.0,0.0,0.0,14.0,12.0,727.85,0.0,0.0,336.56,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,2,0
38.0,0.0,0.0,35.0,2.0,3532.0,0.0,0.0,1274.7,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,2,0
54.0,0.0,0.0,1.0,9.0,44.3,0.0,0.0,42.95,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0
50.0,0.0,0.0,29.0,17.0,2607.6,0.0,20.0,59.45,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0
35.0,3.0,1.0,39.0,53.0,3767.4,0.0,0.0,950.82,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0
72.0,0.0,0.0,40.0,23.0,3673.6,0.0,0.0,1765.6,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1,3,0
51.0,0.0,0.0,40.0,15.0,4036.85,0.0,0.0,1507.6,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
78.0,1.0,0.0,11.0,29.0,1120.3,0.0,120.0,127.49,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1
58.0,0.0,0.0,30.0,15.0,1888.45,0.0,0.0,79.2,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0
26.0,0.0,0.0,27.0,16.8,529.8,0.0,0.0,557.82,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
66.0,0.0,3.0,70.0,28.0,7308.95,6.11,0.0,2764.3,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,2,0
61.0,0.0,10.0,58.0,18.0,2878.55,10.23,0.0,1065.46,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,2,0
24.0,0.0,0.0,16.0,48.0,1212.1,0.0,0.0,411.36,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0
55.0,0.0,3.0,69.0,27.0,8182.85,0.0,0.0,2657.88,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,3,0
32.0,0.0,0.0,1.0,18.0,19.85,0.0,0.0,31.77,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
59.0,0.0,0.0,1.0,25.0,99.75,0.0,0.0,40.71,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1
71.0,1.0,9.0,32.0,23.0,2861.45,0.0,0.0,1019.52,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,2,0
49.0,2.0,8.0,16.0,12.0,1442.2,0.0,0.0,779.36,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0
61.0,0.0,1.0,49.0,10.0,4059.35,0.0,0.0,1937.95,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,2,1
40.0,0.0,2.0,71.0,29.0,4145.9,0.0,0.0,0.0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,3,0
39.0,0.0,0.0,33.0,12.0,3645.5,0.0,0.0,1639.77,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0
21.0,0.0,9.0,10.0,21.6,187.75,0.0,0.0,496.0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
52.0,1.0,1.0,37.0,23.0,1448.8,0.0,0.0,0.0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1
71.0,0.0,0.0,26.0,7.0,2193.65,0.0,0.0,877.24,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0
45.0,0.0,0.0,50.0,7.0,1748.9,0.0,0.0,0.0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,2,0
29.0,0.0,0.0,7.0,26.0,511.25,13.03,0.0,200.34,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1
42.0,0.0,0.0,15.0,12.0,1553.95,0.0,0.0,688.8,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1
51.0,2.0,0.0,26.0,19.0,1147.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,1,1,0
39.0,0.0,9.0,72.0,23.0,6747.35,0.0,0.0,2391.84,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0
64.0,0.0,1.0,44.0,7.6,865.05,0.0,0.0,1205.6,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0
40.0,0.0,0.0,2.0,16.0,181.65,0.0,0.0,73.62,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1
76.0,0.0,0.0,44.0,17.0,3268.05,17.91,0.0,339.68,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,0
57.0,0.0,0.0,12.0,6.0,1052.4,0.0,0.0,172.56,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1
71.0,0.0,1.0,69.0,17.0,7634.25,0.0,0.0,1270.29,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,3,0
24.0,0.0,0.0,3.0,36.6,63.75,0.0,0.0,77.25,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
19.0,0.0,10.0,2.0,53.0,190.5,0.0,0.0,9.3,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0
77.0,0.0,0.0,27.0,4.0,2401.05,0.0,0.0,80.19,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,3,0
57.0,0.0,0.0,26.0,17.2,511.25,0.0,0.0,346.84,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
73.0,0.0,9.0,39.0,21.0,3949.15,0.0,0.0,785.85,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0
41.0,0.0,0.0,25.0,8.0,2362.1,0.0,0.0,872.0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1
43.0,0.0,0.0,1.0,23.0,70.9,0.0,0.0,39.81,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1
48.0,0.0,1.0,22.0,21.0,1152.7,0.0,0.0,599.28,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1
51.0,0.0,0.0,24.0,17.6,470.2,0.0,0.0,255.36,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0
34.0,0.0,8.0,19.0,16.0,1564.4,0.0,0.0,148.96,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0
21.0,2.0,2.0,71.0,23.2,1847.55,0.0,0.0,653.2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,3,0
78.0,0.0,7.0,33.0,20.0,3694.7,0.0,0.0,829.95,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,2,0
60.0,0.0,0.0,3.0,17.4,58.0,0.0,0.0,8.07,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
54.0,1.0,7.0,47.0,13.0,4017.45,0.0,0.0,51.23,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0
42.0,3.0,2.0,62.0,20.0,6825.65,0.0,0.0,109.12,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,3,0
22.0,0.0,0.0,71.0,48.0,8309.55,0.0,0.0,204.48,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,2,0
71.0,0.0,8.0,7.0,11.0,605.45,0.0,0.0,293.79,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,3,0
56.0,2.0,6.0,27.0,28.0,1972.35,0.0,0.0,1259.82,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0
33.0,0.0,0.0,2.0,17.0,33.7,0.0,0.0,3.62,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
80.0,0.0,0.0,30.0,5.0,2111.3,0.0,0.0,1158.3,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,2,0
73.0,0.0,1.0,58.0,19.0,6205.5,0.0,0.0,982.52,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,2,1
59.0,0.0,0.0,9.0,28.0,633.85,0.0,0.0,83.43,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0
78.0,0.0,1.0,6.0,17.0,474.9,0.0,0.0,172.26,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1
47.0,1.0,7.0,69.0,16.0,5848.6,0.0,40.0,2685.48,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,2,0
68.0,0.0,0.0,66.0,20.0,6471.85,0.0,0.0,689.7,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,3,0
30.0,0.0,0.0,70.0,52.0,8127.6,0.0,0.0,714.7,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,2,1
62.0,0.0,0.0,25.0,15.6,676.35,0.0,0.0,139.25,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1
52.0,2.0,1.0,46.0,9.4,864.2,0.0,0.0,1119.18,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0
63.0,0.0,7.0,54.0,26.0,6049.5,0.0,0.0,615.6,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,0
54.0,0.0,0.0,15.0,7.0,1582.75,0.0,0.0,335.85,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1
48.0,1.0,0.0,12.0,18.2,198.1,0.0,0.0,99.0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
51.0,0.0,0.0,22.0,22.0,1098.85,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0
52.0,0.0,0.0,30.0,20.0,2438.6,0.0,130.0,741.9,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
33.0,0.0,2.0,30.0,17.2,576.65,0.0,0.0,294.3,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0
26.0,0.0,5.0,4.0,19.0,371.9,0.0,0.0,115.08,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1
58.0,0.0,0.0,2.0,28.0,167.3,0.0,0.0,28.28,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1
22.0,1.0,0.0,10.0,23.2,219.5,0.0,0.0,78.6,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0
