Age,Number of Dependents,Number of Referrals,Tenure in Months,Avg Monthly GB Download,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Gender,Married,City,Phone Service,Multiple Lines,Internet Service,Internet Type,Device Protection Plan,Premium Tech Support,Unlimited Data,Contract,Customer Status,# Streaming Services
37.0,0.0,2.0,9.0,16.0,593.3,0.0,0.0,381.51,Female,Yes,Frazier Park,Yes,No,Yes,Cable,No,Yes,Yes,One Year,Stayed,1
46.0,0.0,0.0,9.0,10.0,542.4,38.33,10.0,96.21,Male,No,Glendale,Yes,Yes,Yes,Cable,No,No,No,Month-to-Month,Stayed,2
50.0,0.0,0.0,4.0,30.0,280.85,0.0,0.0,134.6,Male,No,Costa Mesa,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Month-to-Month,Churned,0
78.0,0.0,1.0,13.0,4.0,1237.85,0.0,0.0,361.66,Male,Yes,Martinez,Yes,No,Yes,Fiber Optic,Yes,No,Yes,Month-to-Month,Churned,2
75.0,0.0,3.0,3.0,11.0,267.4,0.0,0.0,22.14,Female,Yes,Camarillo,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Month-to-Month,Churned,1
67.0,0.0,1.0,71.0,14.0,7904.25,0.0,0.0,707.16,Female,Yes,Lompoc,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Two Year,Stayed,3
52.0,0.0,8.0,63.0,7.0,5377.8,0.0,20.0,816.48,Male,Yes,Napa,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Two Year,Stayed,0
68.0,0.0,0.0,7.0,21.0,340.35,0.0,0.0,73.71,Female,No,Simi Valley,Yes,No,Yes,DSL,No,No,Yes,Two Year,Stayed,0
43.0,1.0,3.0,65.0,14.0,5957.9,0.0,0.0,1849.9,Female,Yes,Sheridan,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Two Year,Stayed,3
47.0,0.0,0.0,54.0,10.0,2460.55,0.0,0.0,0.0,Male,No,Rancho Santa Fe,No,No,Yes,Cable,No,Yes,Yes,Two Year,Stayed,1
58.0,0.0,0.0,5.0,10.0,351.5,0.0,0.0,93.25,Female,Yes,Antelope,Yes,No,Yes,Fiber Optic,No,No,Yes,Month-to-Month,Stayed,0
32.0,0.0,0.0,72.0,16.0,7261.25,0.0,0.0,162.0,Female,No,La Mesa,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Two Year,Stayed,1
39.0,0.0,0.0,56.0,19.0,2560.1,0.0,0.0,0.0,Female,No,Los Olivos,No,No,Yes,DSL,Yes,Yes,Yes,Two Year,Stayed,0
58.0,2.0,9.0,71.0,12.0,6849.4,0.0,0.0,1935.46,Female,Yes,Woodlake,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Two Year,Stayed,2
52.0,1.0,0.0,34.0,20.0,1993.2,0.0,0.0,0.0,Female,Yes,Point Reyes Station,No,No,Yes,DSL,Yes,Yes,Yes,One Year,Stayed,3
