Gender,Age,Married,Number of Dependents,City,Number of Referrals,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Customer Status
Female,37,Yes,0,Frazier Park,2,9,Yes,No,Yes,Cable,16.0,No,Yes,Yes,No,No,Yes,One Year,593.3,0.0,0,381.51,Stayed
Male,46,No,0,Glendale,0,9,Yes,Yes,Yes,Cable,10.0,No,No,No,Yes,Yes,No,Month-to-Month,542.4,38.33,10,96.21,Stayed
Male,50,No,0,Costa Mesa,0,4,Yes,No,Yes,Fiber Optic,30.0,Yes,No,No,No,No,Yes,Month-to-Month,280.85,0.0,0,134.6,Churned
Male,78,Yes,0,Martinez,1,13,Yes,No,Yes,Fiber Optic,4.0,Yes,No,Yes,Yes,No,Yes,Month-to-Month,1237.85,0.0,0,361.66,Churned
Female,75,Yes,0,Camarillo,3,3,Yes,No,Yes,Fiber Optic,11.0,No,Yes,Yes,No,No,Yes,Month-to-Month,267.4,0.0,0,22.14,Churned
Female,23,No,3,Midpines,0,9,Yes,No,Yes,Cable,73.0,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,571.45,0.0,0,150.93,Stayed
Female,67,Yes,0,Lompoc,1,71,Yes,No,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,7904.25,0.0,0,707.16,Stayed
Male,52,Yes,0,Napa,8,63,Yes,Yes,Yes,Fiber Optic,7.0,No,Yes,No,No,No,No,Two Year,5377.8,0.0,20,816.48,Stayed
Female,68,No,0,Simi Valley,0,7,Yes,No,Yes,DSL,21.0,No,No,No,No,No,Yes,Two Year,340.35,0.0,0,73.71,Stayed
Female,43,Yes,1,Sheridan,3,65,Yes,Yes,Yes,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,5957.9,0.0,0,1849.9,Stayed
Male,47,No,0,Rancho Santa Fe,0,54,No,No,Yes,Cable,10.0,No,Yes,Yes,No,No,Yes,Two Year,2460.55,0.0,0,0.0,Stayed
Female,25,Yes,2,Sunnyvale,2,72,Yes,Yes,Yes,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,8456.75,0.0,0,1152.72,Stayed
Female,58,Yes,0,Antelope,0,5,Yes,No,Yes,Fiber Optic,10.0,No,No,No,No,No,Yes,Month-to-Month,351.5,0.0,0,93.25,Stayed
Female,32,No,0,La Mesa,0,72,Yes,Yes,Yes,Fiber Optic,16.0,Yes,No,Yes,No,No,Yes,Two Year,7261.25,0.0,0,162.0,Stayed
Female,39,No,0,Los Olivos,0,56,No,No,Yes,DSL,19.0,Yes,Yes,No,No,No,Yes,Two Year,2560.1,0.0,0,0.0,Stayed
Female,58,Yes,2,Woodlake,9,71,Yes,Yes,Yes,Fiber Optic,12.0,Yes,No,No,Yes,Yes,Yes,Two Year,6849.4,0.0,0,1935.46,Stayed
Female,52,Yes,1,Point Reyes Station,0,34,No,No,Yes,DSL,20.0,Yes,Yes,Yes,Yes,Yes,Yes,One Year,1993.2,0.0,0,0.0,Stayed
Female,72,No,0,San Marcos,0,1,Yes,Yes,Yes,Fiber Optic,22.0,No,No,No,No,No,Yes,One Year,72.1,0.0,0,7.77,Stayed
Male,79,No,0,Daly City,0,45,Yes,No,Yes,DSL,17.0,Yes,No,No,Yes,No,Yes,One Year,2791.5,0.0,0,480.15,Churned
Male,67,No,0,Morgan Hill,0,1,No,No,Yes,Cable,9.0,No,No,No,No,No,Yes,Month-to-Month,25.1,0.0,0,0.0,Churned
Female,79,Yes,0,Ahwahnee,0,50,Yes,Yes,No,Fiber Optic,21.0,No,No,No,No,No,Yes,One Year,1306.3,0.0,0,1571.5,Stayed
Female,26,Yes,0,Carnelian Bay,1,13,Yes,Yes,Yes,Fiber Optic,52.0,Yes,No,Yes,No,No,Yes,Month-to-Month,1215.6,0.0,0,566.28,Churned
Female,30,Yes,2,Alpaugh,1,23,Yes,Yes,Yes,Fiber Optic,30.0,No,No,Yes,No,No,Yes,Month-to-Month,1849.95,0.0,0,802.93,Stayed
Female,22,No,0,Keeler,0,3,Yes,No,No,Fiber Optic,21.0,No,No,No,No,No,Yes,Month-to-Month,57.2,0.0,0,9.36,Stayed
Female,34,Yes,0,Korbel,0,4,Yes,No,No,Fiber Optic,21.0,No,No,No,No,No,Yes,Month-to-Month,76.35,0.0,0,49.72,Churned
Female,37,Yes,1,Palomar Mountain,1,1,No,No,Yes,DSL,19.0,No,No,No,No,No,Yes,Month-to-Month,30.5,0.0,0,0.0,Churned
Female,37,Yes,3,Parlier,10,55,Yes,No,Yes,Fiber Optic,57.0,Yes,Yes,Yes,Yes,Yes,No,One Year,5656.75,0.0,20,1927.2,Stayed
Male,42,Yes,3,Modesto,3,54,Yes,No,No,Fiber Optic,21.0,No,No,No,No,No,Yes,Two Year,1090.6,0.0,0,1063.8,Stayed
